"articles_id","articles_date_added","articles_last_modified","articles_date_available","articles_status","authors_id","articles_page_url","sort_order"
"3","2011-06-09 19:44:03","2011-06-09 19:57:33",NULL,"1","0",,"0"
"4","2011-06-27 13:50:14","2011-08-05 15:33:54",NULL,"1","0",,"0"
"5","2011-07-18 16:39:04","2011-09-03 09:53:49",NULL,"1","0",,"0"
"6","2011-07-18 16:52:08","2011-09-03 09:55:44",NULL,"1","0",,"0"
"7","2011-07-18 16:56:43","2011-09-03 09:57:03",NULL,"1","0",,"0"
"8","2011-07-18 19:35:22","2011-09-03 09:58:10",NULL,"1","0",,"0"
"9","2011-07-22 19:39:33","2011-09-03 10:01:49",NULL,"1","0",,"0"
"10","2011-07-22 19:51:23","2011-09-03 10:04:55",NULL,"1","0",,"0"
"11","2011-07-22 19:56:00","2011-09-03 10:10:28",NULL,"1","0",,"0"
"12","2011-07-22 20:18:06","2011-09-03 10:11:30",NULL,"1","0",,"0"
"13","2011-07-22 20:20:57","2011-09-03 10:14:06",NULL,"1","0",,"0"
"14","2011-07-22 20:23:38","2011-09-03 10:15:00",NULL,"1","0",,"0"
"15","2011-07-22 20:26:19","2011-09-03 10:16:08",NULL,"1","0",,"0"
"16","2011-07-22 20:28:02","2011-09-03 10:17:22",NULL,"1","0",,"0"
"17","2011-07-22 20:30:02","2011-09-03 10:18:27",NULL,"1","0",,"0"
"18","2011-07-22 20:32:23","2011-09-03 10:19:16",NULL,"1","0",,"0"
"19","2011-07-22 20:34:52","2011-09-03 10:19:59",NULL,"1","0",,"0"
"20","2011-07-22 20:37:10","2011-09-03 10:20:56",NULL,"1","0",,"0"
"21","2011-07-22 20:39:51","2011-09-03 10:21:58",NULL,"1","0",,"0"
"22","2011-07-22 20:42:15","2011-09-03 10:22:51",NULL,"1","0",,"0"
"23","2011-07-22 20:44:43","2011-09-03 10:23:47",NULL,"1","0",,"0"
"24","2011-07-22 20:46:25","2011-09-03 10:24:36",NULL,"1","0",,"0"
"27","2013-10-28 15:45:27",NULL,NULL,"1","0",,"0"
"26","2013-10-28 15:39:06",NULL,NULL,"1","0",,"0"
"28","2013-10-28 15:47:55","2013-10-28 15:48:28",NULL,"1","0",,"0"
"29","2013-10-28 15:54:43",NULL,NULL,"1","0",,"0"
"30","2013-10-28 15:58:11",NULL,NULL,"1","0",,"0"
"31","2013-10-28 16:04:24",NULL,NULL,"1","0",,"0"
"32","2013-10-28 16:11:27",NULL,NULL,"1","0",,"0"
"33","2013-10-28 16:16:34",NULL,NULL,"1","0",,"0"
"34","2013-10-28 16:22:04",NULL,NULL,"1","0",,"0"
"35","2013-10-28 16:26:02","2013-10-28 16:27:32",NULL,"1","0",,"0"
"36","2013-10-28 16:30:31",NULL,NULL,"1","0",,"0"
"37","2013-10-28 16:34:24",NULL,NULL,"1","0",,"0"
"38","2013-10-28 16:39:20",NULL,NULL,"1","0",,"0"
"39","2013-10-28 16:53:25",NULL,NULL,"1","0",,"0"
"40","2013-10-28 16:54:03",NULL,NULL,"1","0",,"0"
"41","2013-10-28 16:56:48",NULL,NULL,"1","0",,"0"
"42","2013-10-28 16:59:37",NULL,NULL,"1","0",,"0"
"43","2013-10-28 17:04:21",NULL,NULL,"1","0",,"0"
"44","2013-10-28 17:05:44",NULL,NULL,"1","0",,"0"
"45","2013-10-28 17:11:09",NULL,NULL,"1","0",,"0"
"46","2013-10-28 17:22:36",NULL,NULL,"1","0",,"0"
"47","2013-10-28 17:27:21",NULL,NULL,"1","0",,"0"
"48","2013-10-29 12:38:49",NULL,NULL,"1","0",,"0"
"49","2013-10-29 12:41:20",NULL,NULL,"1","0",,"0"
"50","2013-10-29 12:44:49",NULL,NULL,"1","0",,"0"
"51","2013-10-29 12:47:54",NULL,NULL,"1","0",,"0"
"52","2013-10-29 12:50:34",NULL,NULL,"1","0",,"0"
"53","2013-10-29 12:53:25",NULL,NULL,"1","0",,"0"
"54","2013-10-29 12:54:55",NULL,NULL,"1","0",,"0"
"55","2013-10-29 12:58:28",NULL,NULL,"1","0",,"0"
"56","2013-10-29 13:15:28",NULL,NULL,"1","0",,"0"
"57","2013-10-29 13:17:00",NULL,NULL,"1","0",,"0"
"58","2013-10-29 13:18:38",NULL,NULL,"1","0",,"0"
"59","2013-10-29 13:20:01",NULL,NULL,"1","0",,"0"
"60","2013-10-29 13:58:58",NULL,NULL,"1","0",,"0"
"61","2013-10-29 14:02:01",NULL,NULL,"1","0",,"0"
"62","2013-10-29 14:04:26",NULL,NULL,"1","0",,"0"
"63","2013-10-29 14:19:17",NULL,NULL,"1","0",,"0"
"64","2013-10-29 14:20:36",NULL,NULL,"1","0",,"0"
"65","2013-10-29 14:22:25",NULL,NULL,"1","0",,"0"
"66","2013-10-29 14:29:01",NULL,NULL,"1","0",,"0"
"67","2013-10-29 14:30:44",NULL,NULL,"1","0",,"0"
"68","2013-10-29 14:31:41",NULL,NULL,"1","0",,"0"
"69","2013-10-29 14:35:08",NULL,NULL,"1","0",,"0"
"70","2013-10-29 14:37:45",NULL,NULL,"1","0",,"0"
"71","2013-10-29 14:42:01",NULL,NULL,"1","0",,"0"
"72","2013-10-29 14:46:05",NULL,NULL,"1","0",,"0"
"73","2013-10-29 14:48:38",NULL,NULL,"1","0",,"0"
"74","2013-10-29 14:50:05",NULL,NULL,"1","0",,"0"
"75","2013-10-30 12:08:49",NULL,NULL,"1","0",,"0"
"76","2013-10-30 12:24:55","2013-10-30 12:26:22",NULL,"1","0",,"0"
"77","2013-10-30 17:34:00",NULL,NULL,"1","0",,"0"
"78","2013-10-30 17:35:58",NULL,NULL,"1","0",,"0"
"79","2013-10-30 17:44:36",NULL,NULL,"1","0",,"0"
"80","2013-10-31 11:56:14","2013-10-31 12:00:15",NULL,"1","0",,"0"
"81","2013-10-31 12:03:05",NULL,NULL,"1","0",,"0"
"82","2013-10-31 12:12:35",NULL,NULL,"1","0",,"0"
"83","2013-10-31 12:13:27",NULL,NULL,"1","0",,"0"
"84","2013-10-31 12:14:34",NULL,NULL,"1","0",,"0"
"85","2013-10-31 12:17:53",NULL,NULL,"1","0",,"0"
"86","2013-10-31 12:21:30",NULL,NULL,"1","0",,"0"
"87","2013-10-31 12:40:09",NULL,NULL,"1","0",,"0"
"88","2013-10-31 13:00:53",NULL,NULL,"1","0",,"0"
"89","2013-10-31 13:03:25",NULL,NULL,"1","0",,"0"
"90","2013-10-31 13:13:27",NULL,NULL,"1","0",,"0"
"91","2013-10-31 13:16:30",NULL,NULL,"1","0",,"0"
"92","2013-10-31 13:19:50",NULL,NULL,"1","0",,"0"
"93","2013-10-31 13:22:32",NULL,NULL,"1","0",,"0"
"94","2013-10-31 13:24:35",NULL,NULL,"1","0",,"0"
"95","2013-10-31 13:31:19",NULL,NULL,"1","0",,"0"
"96","2013-10-31 13:33:04",NULL,NULL,"1","0",,"0"
"97","2013-10-31 13:48:02",NULL,NULL,"1","0",,"0"
"98","2013-10-31 13:50:38",NULL,NULL,"1","0",,"0"
"99","2013-10-31 14:07:52",NULL,NULL,"1","0",,"0"
"100","2013-10-31 14:10:19",NULL,NULL,"1","0",,"0"
"101","2013-10-31 14:12:11",NULL,NULL,"1","0",,"0"
"102","2013-10-31 14:24:44",NULL,NULL,"1","0",,"0"
"103","2013-10-31 14:26:13",NULL,NULL,"1","0",,"0"
"104","2013-10-31 14:28:02",NULL,NULL,"1","0",,"0"
"105","2013-10-31 14:32:22",NULL,NULL,"1","0",,"0"
"106","2013-10-31 14:35:30",NULL,NULL,"1","0",,"0"
"107","2013-10-31 14:47:06",NULL,NULL,"1","0",,"0"
"108","2013-10-31 14:49:06",NULL,NULL,"1","0",,"0"
"109","2013-10-31 14:51:21",NULL,NULL,"1","0",,"0"
"110","2013-10-31 14:54:06",NULL,NULL,"1","0",,"0"
"111","2013-10-31 14:55:19",NULL,NULL,"1","0",,"0"
"112","2013-10-31 14:57:38",NULL,NULL,"1","0",,"0"
"113","2013-11-04 11:27:41",NULL,NULL,"1","0",,"0"
"114","2013-11-04 11:30:43",NULL,NULL,"1","0",,"0"
"115","2013-11-04 11:32:57",NULL,NULL,"1","0",,"0"
"116","2013-11-04 11:45:09",NULL,NULL,"1","0",,"0"
"117","2013-11-04 11:54:15",NULL,NULL,"1","0",,"0"
"118","2013-11-04 11:57:43",NULL,NULL,"1","0",,"0"
"119","2013-11-04 12:09:11",NULL,NULL,"1","0",,"0"
"120","2013-11-04 12:11:33",NULL,NULL,"1","0",,"0"
"121","2013-11-04 12:15:17",NULL,NULL,"1","0",,"0"
"122","2013-11-04 12:16:53",NULL,NULL,"1","0",,"0"
"123","2013-11-04 12:24:12",NULL,NULL,"1","0",,"0"
"124","2013-11-04 12:26:17",NULL,NULL,"1","0",,"0"
"125","2013-11-04 12:27:29",NULL,NULL,"1","0",,"0"
"126","2013-11-04 12:30:20",NULL,NULL,"1","0",,"0"
"127","2013-11-04 12:36:22",NULL,NULL,"1","0",,"0"
"128","2013-11-04 12:38:03",NULL,NULL,"1","0",,"0"
"129","2013-11-04 12:40:48",NULL,NULL,"1","0",,"0"
"130","2013-11-04 12:51:13",NULL,NULL,"1","0",,"0"
"131","2013-11-04 12:52:58",NULL,NULL,"1","0",,"0"
"132","2013-11-04 12:54:30",NULL,NULL,"1","0",,"0"
"133","2013-11-04 12:56:45",NULL,NULL,"1","0",,"0"
"134","2013-11-04 13:02:49",NULL,NULL,"1","0",,"0"
"135","2013-11-04 13:06:40",NULL,NULL,"1","0",,"0"
"136","2013-11-04 13:08:49",NULL,NULL,"1","0",,"0"
"137","2013-11-04 13:10:06",NULL,NULL,"1","0",,"0"
"138","2013-11-04 13:14:29",NULL,NULL,"1","0",,"0"
"139","2013-11-04 13:16:54",NULL,NULL,"1","0",,"0"
"140","2013-11-04 13:23:33",NULL,NULL,"1","0",,"0"
"141","2013-11-04 13:32:51",NULL,NULL,"1","0",,"0"
"142","2013-11-04 13:36:50",NULL,NULL,"1","0",,"0"
"143","2013-11-04 13:39:09",NULL,NULL,"1","0",,"0"
"144","2013-11-04 13:43:58",NULL,NULL,"1","0",,"0"
"145","2013-11-04 13:46:21",NULL,NULL,"1","0",,"0"
"146","2013-11-04 13:48:38",NULL,NULL,"1","0",,"0"
"147","2013-11-04 13:52:42",NULL,NULL,"1","0",,"0"
"148","2013-11-04 13:54:44",NULL,NULL,"1","0",,"0"
"149","2013-11-04 13:56:40",NULL,NULL,"1","0",,"0"
"150","2013-11-04 13:59:21",NULL,NULL,"1","0",,"0"
"151","2013-11-04 14:02:18",NULL,NULL,"1","0",,"0"
"152","2013-11-04 14:03:37",NULL,NULL,"1","0",,"0"
"153","2013-11-04 14:04:53",NULL,NULL,"1","0",,"0"
"154","2013-11-04 14:12:05",NULL,NULL,"1","0",,"0"
"155","2013-11-04 14:13:40",NULL,NULL,"1","0",,"0"
"156","2013-11-04 14:14:44",NULL,NULL,"1","0",,"0"
"157","2013-11-04 14:29:16",NULL,NULL,"1","0",,"0"
"158","2013-11-04 14:31:10",NULL,NULL,"1","0",,"0"
"159","2013-11-04 14:34:31",NULL,NULL,"1","0",,"0"
"160","2013-11-04 14:36:24",NULL,NULL,"1","0",,"0"
"161","2013-11-04 14:38:26",NULL,NULL,"1","0",,"0"
"162","2013-11-04 14:40:44",NULL,NULL,"1","0",,"0"
"163","2013-11-04 14:42:14",NULL,NULL,"1","0",,"0"
"164","2013-11-04 14:48:16",NULL,NULL,"1","0",,"0"
"165","2013-11-04 14:51:01",NULL,NULL,"1","0",,"0"
"166","2013-11-04 14:52:20",NULL,NULL,"1","0",,"0"
"167","2013-11-04 15:57:48",NULL,NULL,"1","0",,"0"
"168","2013-11-04 16:01:22",NULL,NULL,"1","0",,"0"
"169","2013-11-04 16:02:32",NULL,NULL,"1","0",,"0"
"170","2013-11-04 16:12:55",NULL,NULL,"1","0",,"0"
"171","2013-11-04 16:22:51",NULL,NULL,"1","0",,"0"
"172","2013-11-04 16:24:05",NULL,NULL,"1","0",,"0"
"173","2013-11-04 16:26:17",NULL,NULL,"1","0",,"0"
"174","2013-11-04 16:47:14",NULL,NULL,"1","0",,"0"
"175","2013-11-04 16:48:12",NULL,NULL,"1","0",,"0"
"176","2013-11-04 16:50:11",NULL,NULL,"1","0",,"0"
"177","2013-11-04 16:53:20",NULL,NULL,"1","0",,"0"
"178","2013-11-04 16:58:26",NULL,NULL,"1","0",,"0"
"179","2013-11-04 17:00:47",NULL,NULL,"1","0",,"0"
"180","2013-11-04 17:03:48",NULL,NULL,"1","0",,"0"
"181","2013-11-04 17:45:22",NULL,NULL,"1","0",,"0"
"182","2013-11-04 17:46:12",NULL,NULL,"1","0",,"0"
"183","2013-11-04 17:53:05",NULL,NULL,"1","0",,"0"
"184","2013-11-04 17:55:43",NULL,NULL,"1","0",,"0"
"185","2013-11-04 17:57:45",NULL,NULL,"1","0",,"0"
"186","2013-11-04 21:46:22",NULL,NULL,"1","0",,"0"
"187","2013-11-04 21:48:30",NULL,NULL,"1","0",,"0"
"188","2013-11-04 21:52:09",NULL,NULL,"1","0",,"0"
"189","2013-11-04 21:53:34",NULL,NULL,"1","0",,"0"
"190","2013-11-05 13:11:56",NULL,NULL,"1","0",,"0"
"191","2013-11-05 13:13:30",NULL,NULL,"1","0",,"0"
"192","2013-11-05 13:19:49",NULL,NULL,"1","0",,"0"
"194","2013-11-05 13:45:56",NULL,NULL,"1","0",,"0"
"195","2013-11-05 13:49:33",NULL,NULL,"1","0",,"0"
"196","2013-11-05 13:52:28",NULL,NULL,"1","0",,"0"
"197","2013-11-05 14:10:02",NULL,NULL,"1","0",,"0"
"198","2013-11-05 14:14:08",NULL,NULL,"1","0",,"0"
"199","2013-11-05 14:18:17",NULL,NULL,"1","0",,"0"
"200","2013-11-05 14:23:50",NULL,NULL,"1","0",,"0"
"201","2013-11-05 14:27:52",NULL,NULL,"1","0",,"0"
"202","2013-11-05 14:40:52",NULL,NULL,"1","0",,"0"
"203","2013-11-05 14:42:02",NULL,NULL,"1","0",,"0"
"204","2013-11-22 14:05:26",NULL,NULL,"1","0",,"0"
"205","2013-11-22 14:09:13",NULL,NULL,"1","0",,"0"
"206","2013-11-22 14:17:03",NULL,NULL,"1","0",,"0"
"207","2013-11-22 14:19:27",NULL,NULL,"1","0",,"0"
"208","2013-11-22 14:30:29",NULL,NULL,"1","0",,"0"
"209","2013-11-22 14:37:54",NULL,NULL,"1","0",,"0"
